combination;interval;frequency;cumulative_frequency;value;distribution;orden;Tipo_de_vivienda;Normativa;zona_climatica;Variable1;Variable2
;[0.0309,0.0978);5;5;0,06435;0,00161290322580645;1;NA;NA;NA;NA;NA
;[0.0978,0.165);38;43;0,13140;0,01387096774193548;2;NA;NA;NA;NA;NA
;[0.165,0.231);160;203;0,19800;0,06548387096774194;3;NA;NA;NA;NA;NA
;[0.231,0.298);459;662;0,26450;0,21354838709677421;4;NA;NA;NA;NA;NA
;[0.298,0.365);744;1406;0,33150;0,45354838709677420;5;NA;NA;NA;NA;NA
;[0.365,0.432);798;2204;0,39850;0,71096774193548384;6;NA;NA;NA;NA;NA
;[0.432,0.499);571;2775;0,46550;0,89516129032258063;7;NA;NA;NA;NA;NA
;[0.499,0.566);246;3021;0,53250;0,97451612903225804;8;NA;NA;NA;NA;NA
;[0.566,0.632);63;3084;0,59900;0,99483870967741939;9;NA;NA;NA;NA;NA
;[0.632,0.699];16;3100;0,66550;1,00000000000000000;10;NA;NA;NA;NA;NA
Tipo_de_vivienda;[0.0309,0.0978);5;5;0,06435;0,00166666666666667;1;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.0978,0.165);37;42;0,13140;0,01400000000000000;2;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.165,0.231);155;197;0,19800;0,06566666666666666;3;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.231,0.298);447;644;0,26450;0,21466666666666667;4;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.298,0.365);720;1364;0,33150;0,45466666666666666;5;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.365,0.432);775;2139;0,39850;0,71299999999999997;6;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.432,0.499);552;2691;0,46550;0,89700000000000002;7;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.499,0.566);234;2925;0,53250;0,97499999999999998;8;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.566,0.632);59;2984;0,59900;0,99466666666666670;9;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.632,0.699];16;3000;0,66550;1,00000000000000000;10;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.15,0.195);2;2;0,17250;0,02000000000000000;1;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.195,0.24);7;9;0,21750;0,09000000000000000;2;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.24,0.286);7;16;0,26300;0,16000000000000000;3;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.286,0.331);14;30;0,30850;0,29999999999999999;4;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.331,0.376);19;49;0,35350;0,48999999999999999;5;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.376,0.422);14;63;0,39900;0,63000000000000000;6;Unifamiliar;NA;NA;NA;NA
