combination;interval;frequency;cumulative_frequency;value;distribution;orden;Tipo_de_vivienda;Normativa;zona_climatica;Variable1;Variable2
;[1.63,1.69);19;19;1,660;0,00612903225806452;1;NA;NA;NA;NA;NA
;[1.69,1.75);107;126;1,720;0,04064516129032258;2;NA;NA;NA;NA;NA
;[1.75,1.82);277;403;1,785;0,13000000000000000;3;NA;NA;NA;NA;NA
;[1.82,1.88);585;988;1,850;0,31870967741935485;4;NA;NA;NA;NA;NA
;[1.88,1.95);780;1768;1,915;0,57032258064516128;5;NA;NA;NA;NA;NA
;[1.95,2.01);692;2460;1,980;0,79354838709677422;6;NA;NA;NA;NA;NA
;[2.01,2.08);424;2884;2,045;0,93032258064516127;7;NA;NA;NA;NA;NA
;[2.08,2.14);162;3046;2,110;0,98258064516129029;8;NA;NA;NA;NA;NA
;[2.14,2.21);45;3091;2,175;0,99709677419354836;9;NA;NA;NA;NA;NA
;[2.21,2.27];9;3100;2,240;1,00000000000000000;10;NA;NA;NA;NA;NA
Tipo_de_vivienda;[1.63,1.69);19;19;1,660;0,00633333333333333;1;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.69,1.75);105;124;1,720;0,04133333333333333;2;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.75,1.82);270;394;1,785;0,13133333333333333;3;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.82,1.88);566;960;1,850;0,32000000000000001;4;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.88,1.95);752;1712;1,915;0,57066666666666666;5;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.95,2.01);670;2382;1,980;0,79400000000000004;6;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.01,2.08);410;2792;2,045;0,93066666666666664;7;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.08,2.14);156;2948;2,110;0,98266666666666669;8;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.14,2.21);43;2991;2,175;0,99700000000000000;9;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.21,2.27];9;3000;2,240;1,00000000000000000;10;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.7,1.74);2;2;1,720;0,02000000000000000;1;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.74,1.79);2;4;1,765;0,04000000000000000;2;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.79,1.83);10;14;1,810;0,14000000000000001;3;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.83,1.88);10;24;1,855;0,23999999999999999;4;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.88,1.92);22;46;1,900;0,46000000000000002;5;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.92,1.97);18;64;1,945;0,64000000000000001;6;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.97,2.01);15;79;1,990;0,79000000000000004;7;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.01,2.06);11;90;2,035;0,90000000000000002;8;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.06,2.1);6;96;2,080;0,95999999999999996;9;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.1,2.15];4;100;2,125;1,00000000000000000;10;Unifamiliar;NA;NA;NA;NA
Normativa;[1.67,1.73);9;9;1,700;0,01500000000000000;1;NA;Abans de 1979;NA;NA;NA
Normativa;[1.73,1.79);40;49;1,760;0,08166666666666667;2;NA;Abans de 1979;NA;NA;NA
Normativa;[1.79,1.85);66;115;1,820;0,19166666666666668;3;NA;Abans de 1979;NA;NA;NA
Normativa;[1.85,1.91);139;254;1,880;0,42333333333333334;4;NA;Abans de 1979;NA;NA;NA
Normativa;[1.91,1.97);120;374;1,940;0,62333333333333329;5;NA;Abans de 1979;NA;NA;NA
Normativa;[1.97,2.03);130;504;2,000;0,83999999999999997;6;NA;Abans de 1979;NA;NA;NA
