combination;interval;frequency;cumulative_frequency;value;distribution;orden;Tipo_de_vivienda;Normativa;zona_climatica;Variable1;Variable2
;[0.19,0.45);3979;3979;0,3200;0,32195161420826929;1;NA;NA;NA;NA;NA
;[0.45,0.71);2475;6454;0,5800;0,52221053483291524;2;NA;NA;NA;NA;NA
;[0.71,0.97);558;7012;0,8400;0,56735981875556274;3;NA;NA;NA;NA;NA
;[0.97,1.23);815;7827;1,1000;0,63330366534509264;4;NA;NA;NA;NA;NA
;[1.23,1.49);1608;9435;1,3600;0,76341127922971119;5;NA;NA;NA;NA;NA
;[1.49,1.75);326;9761;1,6200;0,78978881786552313;6;NA;NA;NA;NA;NA
;[1.75,2.01);298;10059;1,8800;0,81390080103568252;7;NA;NA;NA;NA;NA
;[2.01,2.27);245;10304;2,1400;0,83372441136014241;8;NA;NA;NA;NA;NA
;[2.27,2.53);1478;11782;2,4000;0,95331337486851686;9;NA;NA;NA;NA;NA
;[2.53,2.79];577;12359;2,6600;1,00000000000000000;10;NA;NA;NA;NA;NA
Tipo_de_vivienda;[0.19,0.448);1245;1245;0,3190;0,29048063462435836;1;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.448,0.706);1201;2446;0,5770;0,57069528698086791;2;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.706,0.964);260;2706;0,8350;0,63135790947270187;3;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.964,1.22);331;3037;1,0920;0,70858609426038266;4;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.22,1.48);585;3622;1,3500;0,84507699486700882;5;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.48,1.74);210;3832;1,6100;0,89407372841810551;6;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.74,2);188;4020;1,8700;0,93793747083527768;7;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2,2.25);121;4141;2,1250;0,96616892207186189;8;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.25,2.51);105;4246;2,3800;0,99066728884741018;9;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.51,2.77];40;4286;2,6400;1,00000000000000000;10;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.19,0.45);2726;2726;0,3200;0,33766877245138116;1;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.45,0.71);1282;4008;0,5800;0,49646971386101824;2;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.71,0.97);296;4304;0,8400;0,53313514183079402;3;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.97,1.23);485;4789;1,1000;0,59321194103802799;4;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.23,1.49);1018;5807;1,3600;0,71931128452867588;5;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.49,1.75);115;5922;1,6200;0,73355629877369011;6;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.75,2.01);111;6033;1,8800;0,74730583426235597;7;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.01,2.27);130;6163;2,1400;0,76340889384367649;8;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.27,2.53);1373;7536;2,4000;0,93348197696023782;9;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.53,2.79];537;8073;2,6600;1,00000000000000000;10;Unifamiliar;NA;NA;NA;NA
Normativa;[0.19,0.45);740;740;0,3200;0,18762677484787019;1;NA;Abans de 1979;NA;NA;NA
Normativa;[0.45,0.71);537;1277;0,5800;0,32378296146044627;2;NA;Abans de 1979;NA;NA;NA
Normativa;[0.71,0.97);278;1555;0,8400;0,39426977687626774;3;NA;Abans de 1979;NA;NA;NA
Normativa;[0.97,1.23);417;1972;1,1000;0,50000000000000000;4;NA;Abans de 1979;NA;NA;NA
Normativa;[1.23,1.49);591;2563;1,3600;0,64984787018255574;5;NA;Abans de 1979;NA;NA;NA
Normativa;[1.49,1.75);256;2819;1,6200;0,71475659229208921;6;NA;Abans de 1979;NA;NA;NA
Normativa;[1.75,2.01);232;3051;1,8800;0,77358012170385393;7;NA;Abans de 1979;NA;NA;NA
Normativa;[2.01,2.27);165;3216;2,1400;0,81541582150101422;8;NA;Abans de 1979;NA;NA;NA
Normativa;[2.27,2.53);258;3474;2,4000;0,88083164300202843;9;NA;Abans de 1979;NA;NA;NA
Normativa;[2.53,2.79];470;3944;2,6600;1,00000000000000000;10;NA;Abans de 1979;NA;NA;NA
Normativa;[0.19,0.434);357;357;0,3120;0,31733333333333336;1;NA;CTE 2006;NA;NA;NA
Normativa;[0.434,0.678);384;741;0,5560;0,65866666666666662;2;NA;CTE 2006;NA;NA;NA
Normativa;[0.678,0.922);27;768;0,8000;0,68266666666666664;3;NA;CTE 2006;NA;NA;NA
Normativa;[0.922,1.17);19;787;1,0460;0,69955555555555560;4;NA;CTE 2006;NA;NA;NA
Normativa;[1.17,1.41);310;1097;1,2900;0,97511111111111115;5;NA;CTE 2006;NA;NA;NA
Normativa;[1.41,1.65);7;1104;1,5300;0,98133333333333328;6;NA;CTE 2006;NA;NA;NA
Normativa;[1.65,1.9);0;1104;1,7750;0,98133333333333328;7;NA;CTE 2006;NA;NA;NA
Normativa;[1.9,2.14);6;1110;2,0200;0,98666666666666669;8;NA;CTE 2006;NA;NA;NA
Normativa;[2.14,2.39);9;1119;2,2650;0,99466666666666670;9;NA;CTE 2006;NA;NA;NA
Normativa;[2.39,2.63];6;1125;2,5100;1,00000000000000000;10;NA;CTE 2006;NA;NA;NA
Normativa;[0.19,0.44);503;503;0,3150;0,78471138845553823;1;NA;CTE 2013;NA;NA;NA
Normativa;[0.44,0.69);84;587;0,5650;0,91575663026521059;2;NA;CTE 2013;NA;NA;NA
Normativa;[0.69,0.94);26;613;0,8150;0,95631825273010918;3;NA;CTE 2013;NA;NA;NA
Normativa;[0.94,1.19);13;626;1,0650;0,97659906396255847;4;NA;CTE 2013;NA;NA;NA
Normativa;[1.19,1.44);2;628;1,3150;0,97971918876755071;5;NA;CTE 2013;NA;NA;NA
Normativa;[1.44,1.69);4;632;1,5650;0,98595943837753508;6;NA;CTE 2013;NA;NA;NA
Normativa;[1.69,1.94);2;634;1,8150;0,98907956318252732;7;NA;CTE 2013;NA;NA;NA
Normativa;[1.94,2.19);4;638;2,0650;0,99531981279251169;8;NA;CTE 2013;NA;NA;NA
Normativa;[2.19,2.44);1;639;2,3150;0,99687987519500776;9;NA;CTE 2013;NA;NA;NA
Normativa;[2.44,2.69];2;641;2,5650;1,00000000000000000;10;NA;CTE 2013;NA;NA;NA
Normativa;[0.19,0.44);594;594;0,3150;0,83661971830985915;1;NA;CTE 2019;NA;NA;NA
Normativa;[0.44,0.69);57;651;0,5650;0,91690140845070423;2;NA;CTE 2019;NA;NA;NA
Normativa;[0.69,0.94);17;668;0,8150;0,94084507042253518;3;NA;CTE 2019;NA;NA;NA
Normativa;[0.94,1.19);9;677;1,0650;0,95352112676056333;4;NA;CTE 2019;NA;NA;NA
Normativa;[1.19,1.44);6;683;1,3150;0,96197183098591554;5;NA;CTE 2019;NA;NA;NA
Normativa;[1.44,1.69);8;691;1,5650;0,97323943661971835;6;NA;CTE 2019;NA;NA;NA
Normativa;[1.69,1.94);4;695;1,8150;0,97887323943661975;7;NA;CTE 2019;NA;NA;NA
Normativa;[1.94,2.19);2;697;2,0650;0,98169014084507045;8;NA;CTE 2019;NA;NA;NA
Normativa;[2.19,2.44);8;705;2,3150;0,99295774647887325;9;NA;CTE 2019;NA;NA;NA
Normativa;[2.44,2.69];5;710;2,5650;1,00000000000000000;10;NA;CTE 2019;NA;NA;NA
Normativa;[0.19,0.446);1308;1308;0,3180;0,42536585365853657;1;NA;NBE-CT-79;NA;NA;NA
Normativa;[0.446,0.703);854;2162;0,5745;0,70308943089430898;2;NA;NBE-CT-79;NA;NA;NA
Normativa;[0.703,0.959);110;2272;0,8310;0,73886178861788621;3;NA;NBE-CT-79;NA;NA;NA
Normativa;[0.959,1.22);201;2473;1,0895;0,80422764227642274;4;NA;NBE-CT-79;NA;NA;NA
Normativa;[1.22,1.47);118;2591;1,3450;0,84260162601626021;5;NA;NBE-CT-79;NA;NA;NA
Normativa;[1.47,1.73);35;2626;1,6000;0,85398373983739839;6;NA;NBE-CT-79;NA;NA;NA
Normativa;[1.73,1.98);31;2657;1,8550;0,86406504065040646;7;NA;NBE-CT-79;NA;NA;NA
Normativa;[1.98,2.24);42;2699;2,1100;0,87772357723577232;8;NA;NBE-CT-79;NA;NA;NA
Normativa;[2.24,2.5);338;3037;2,3700;0,98764227642276425;9;NA;NBE-CT-79;NA;NA;NA
Normativa;[2.5,2.75];38;3075;2,6250;1,00000000000000000;10;NA;NBE-CT-79;NA;NA;NA
Normativa;[0.19,0.446);355;355;0,3180;0,12395251396648045;1;NA;NRE-AT-87;NA;NA;NA
Normativa;[0.446,0.702);669;1024;0,5740;0,35754189944134079;2;NA;NRE-AT-87;NA;NA;NA
Normativa;[0.702,0.957);92;1116;0,8295;0,38966480446927376;3;NA;NRE-AT-87;NA;NA;NA
Normativa;[0.957,1.21);170;1286;1,0835;0,44902234636871508;4;NA;NRE-AT-87;NA;NA;NA
Normativa;[1.21,1.47);573;1859;1,3400;0,64909217877094971;5;NA;NRE-AT-87;NA;NA;NA
Normativa;[1.47,1.72);24;1883;1,5950;0,65747206703910610;6;NA;NRE-AT-87;NA;NA;NA
Normativa;[1.72,1.98);26;1909;1,8500;0,66655027932960897;7;NA;NRE-AT-87;NA;NA;NA
Normativa;[1.98,2.24);27;1936;2,1100;0,67597765363128492;8;NA;NRE-AT-87;NA;NA;NA
Normativa;[2.24,2.49);857;2793;2,3650;0,97520949720670391;9;NA;NRE-AT-87;NA;NA;NA
Normativa;[2.49,2.75];71;2864;2,6200;1,00000000000000000;10;NA;NRE-AT-87;NA;NA;NA
zona_climatica;[0.19,0.377);11;11;0,2835;0,23404255319148937;1;NA;NA;;NA;NA
zona_climatica;[0.377,0.563);16;27;0,4700;0,57446808510638303;2;NA;NA;;NA;NA
zona_climatica;[0.563,0.75);3;30;0,6565;0,63829787234042556;3;NA;NA;;NA;NA
zona_climatica;[0.75,0.936);1;31;0,8430;0,65957446808510634;4;NA;NA;;NA;NA
zona_climatica;[0.936,1.12);1;32;1,0280;0,68085106382978722;5;NA;NA;;NA;NA
zona_climatica;[1.12,1.31);11;43;1,2150;0,91489361702127658;6;NA;NA;;NA;NA
zona_climatica;[1.31,1.5);2;45;1,4050;0,95744680851063835;7;NA;NA;;NA;NA
zona_climatica;[1.5,1.68);0;45;1,5900;0,95744680851063835;8;NA;NA;;NA;NA
zona_climatica;[1.68,1.87);1;46;1,7750;0,97872340425531912;9;NA;NA;;NA;NA
zona_climatica;[1.87,2.06];1;47;1,9650;1,00000000000000000;10;NA;NA;;NA;NA
zona_climatica;[0.19,0.446);825;825;0,3180;0,44934640522875818;1;NA;NA;B4;NA;NA
zona_climatica;[0.446,0.703);494;1319;0,5745;0,71840958605664484;2;NA;NA;B4;NA;NA
zona_climatica;[0.703,0.959);37;1356;0,8310;0,73856209150326801;3;NA;NA;B4;NA;NA
zona_climatica;[0.959,1.22);171;1527;1,0895;0,83169934640522880;4;NA;NA;B4;NA;NA
zona_climatica;[1.22,1.47);157;1684;1,3450;0,91721132897603486;5;NA;NA;B4;NA;NA
zona_climatica;[1.47,1.73);17;1701;1,6000;0,92647058823529416;6;NA;NA;B4;NA;NA
zona_climatica;[1.73,1.98);6;1707;1,8550;0,92973856209150330;7;NA;NA;B4;NA;NA
zona_climatica;[1.98,2.24);21;1728;2,1100;0,94117647058823528;8;NA;NA;B4;NA;NA
zona_climatica;[2.24,2.5);76;1804;2,3700;0,98257080610021785;9;NA;NA;B4;NA;NA
zona_climatica;[2.5,2.75];32;1836;2,6250;1,00000000000000000;10;NA;NA;B4;NA;NA
zona_climatica;[0.19,0.446);2160;2160;0,3180;0,29670329670329670;1;NA;NA;C2;NA;NA
zona_climatica;[0.446,0.702);1323;3483;0,5740;0,47843406593406596;2;NA;NA;C2;NA;NA
zona_climatica;[0.702,0.958);288;3771;0,8300;0,51799450549450554;3;NA;NA;C2;NA;NA
zona_climatica;[0.958,1.21);522;4293;1,0840;0,58969780219780221;4;NA;NA;C2;NA;NA
