combination;interval;frequency;cumulative_frequency;value;distribution;orden;Tipo_de_vivienda;Normativa;zona_climatica;Variable1;Variable2
;[0.23,0.507);8131;8131;0,3685;0,2765740331303786;1;NA;NA;NA;NA;NA
;[0.507,0.784);5070;13201;0,6455;0,4490288785332834;2;NA;NA;NA;NA;NA
;[0.784,1.06);3258;16459;0,9220;0,5598489744549134;3;NA;NA;NA;NA;NA
;[1.06,1.34);2997;19456;1,2000;0,6617912173883466;4;NA;NA;NA;NA;NA
;[1.34,1.62);2980;22436;1,4800;0,7631552093608626;5;NA;NA;NA;NA;NA
;[1.62,1.89);2835;25271;1,7550;0,8595870607843804;6;NA;NA;NA;NA;NA
;[1.89,2.17);1334;26605;2,0300;0,9049627538351644;7;NA;NA;NA;NA;NA
;[2.17,2.45);2478;29083;2,3100;0,9892513350794244;8;NA;NA;NA;NA;NA
;[2.45,2.72);241;29324;2,5850;0,9974488928194837;9;NA;NA;NA;NA;NA
;[2.72,3];75;29399;2,8600;1,0000000000000000;10;NA;NA;NA;NA;NA
Tipo_de_vivienda;[0.23,0.505);5443;5443;0,3675;0,2742479971784149;1;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.505,0.78);3498;8941;0,6425;0,4504962966695218;2;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.78,1.06);2424;11365;0,9200;0,5726306242757092;3;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.06,1.33);2240;13605;1,1950;0,6854940293243311;4;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.33,1.6);2361;15966;1,4650;0,8044540736635259;5;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.6,1.88);1927;17893;1,7400;0,9015468332745503;6;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.88,2.16);1082;18975;2,0200;0,9560638887489293;7;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.16,2.43);634;19609;2,2950;0,9880082632135839;8;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.43,2.71);188;19797;2,5700;0,9974807275658790;9;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.71,2.98];50;19847;2,8450;1,0000000000000000;10;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.23,0.507);2678;2678;0,3685;0,2803601340033501;1;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.507,0.784);1561;4239;0,6455;0,4437814070351759;2;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[0.784,1.06);811;5050;0,9220;0,5286850921273032;3;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.06,1.34);752;5802;1,2000;0,6074120603015075;4;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.34,1.62);571;6373;1,4800;0,6671901172529313;5;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.62,1.89);952;7325;1,7550;0,7668551088777219;6;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.89,2.17);279;7604;2,0300;0,7960636515912898;7;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.17,2.45);1855;9459;2,3100;0,9902638190954773;8;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.45,2.72);63;9522;2,5850;0,9968592964824120;9;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.72,3];30;9552;2,8600;1,0000000000000000;10;Unifamiliar;NA;NA;NA;NA
Normativa;[0.23,0.507);1064;1064;0,3685;0,0872202639560620;1;NA;Abans de 1979;NA;NA;NA
Normativa;[0.507,0.784);945;2009;0,6455;0,1646856299696697;2;NA;Abans de 1979;NA;NA;NA
Normativa;[0.784,1.06);2187;4196;0,9220;0,3439626198868760;3;NA;Abans de 1979;NA;NA;NA
Normativa;[1.06,1.34);1702;5898;1,2000;0,4834822526436593;4;NA;Abans de 1979;NA;NA;NA
Normativa;[1.34,1.62);1879;7777;1,4800;0,6375112714156899;5;NA;Abans de 1979;NA;NA;NA
Normativa;[1.62,1.89);1890;9667;1,7550;0,7924420034429052;6;NA;Abans de 1979;NA;NA;NA
Normativa;[1.89,2.17);1121;10788;2,0300;0,8843347815394704;7;NA;Abans de 1979;NA;NA;NA
Normativa;[2.17,2.45);1137;11925;2,3100;0,9775391425526683;8;NA;Abans de 1979;NA;NA;NA
Normativa;[2.45,2.72);215;12140;2,5850;0,9951635379949176;9;NA;Abans de 1979;NA;NA;NA
Normativa;[2.72,3];59;12199;2,8600;1,0000000000000000;10;NA;Abans de 1979;NA;NA;NA
Normativa;[0.23,0.493);1165;1165;0,3615;0,5200892857142857;1;NA;CTE 2006;NA;NA;NA
Normativa;[0.493,0.756);583;1748;0,6245;0,7803571428571429;2;NA;CTE 2006;NA;NA;NA
Normativa;[0.756,1.02);60;1808;0,8880;0,8071428571428572;3;NA;CTE 2006;NA;NA;NA
Normativa;[1.02,1.28);39;1847;1,1500;0,8245535714285714;4;NA;CTE 2006;NA;NA;NA
Normativa;[1.28,1.54);40;1887;1,4100;0,8424107142857142;5;NA;CTE 2006;NA;NA;NA
Normativa;[1.54,1.81);293;2180;1,6750;0,9732142857142857;6;NA;CTE 2006;NA;NA;NA
Normativa;[1.81,2.07);33;2213;1,9400;0,9879464285714286;7;NA;CTE 2006;NA;NA;NA
Normativa;[2.07,2.33);21;2234;2,2000;0,9973214285714286;8;NA;CTE 2006;NA;NA;NA
Normativa;[2.33,2.6);3;2237;2,4650;0,9986607142857142;9;NA;CTE 2006;NA;NA;NA
Normativa;[2.6,2.86];3;2240;2,7300;1,0000000000000000;10;NA;CTE 2006;NA;NA;NA
Normativa;[0.23,0.464);598;598;0,3470;0,5641509433962264;1;NA;CTE 2013;NA;NA;NA
Normativa;[0.464,0.698);299;897;0,5810;0,8462264150943396;2;NA;CTE 2013;NA;NA;NA
Normativa;[0.698,0.932);48;945;0,8150;0,8915094339622641;3;NA;CTE 2013;NA;NA;NA
Normativa;[0.932,1.17);31;976;1,0510;0,9207547169811321;4;NA;CTE 2013;NA;NA;NA
Normativa;[1.17,1.4);26;1002;1,2850;0,9452830188679245;5;NA;CTE 2013;NA;NA;NA
Normativa;[1.4,1.63);17;1019;1,5150;0,9613207547169811;6;NA;CTE 2013;NA;NA;NA
Normativa;[1.63,1.87);17;1036;1,7500;0,9773584905660377;7;NA;CTE 2013;NA;NA;NA
Normativa;[1.87,2.1);7;1043;1,9850;0,9839622641509433;8;NA;CTE 2013;NA;NA;NA
Normativa;[2.1,2.34);13;1056;2,2200;0,9962264150943396;9;NA;CTE 2013;NA;NA;NA
Normativa;[2.34,2.57];4;1060;2,4550;1,0000000000000000;10;NA;CTE 2013;NA;NA;NA
Normativa;[0.23,0.491);889;889;0,3605;0,7445561139028476;1;NA;CTE 2019;NA;NA;NA
