combination;interval;frequency;cumulative_frequency;value;distribution;orden;Tipo_de_vivienda;Normativa;zona_climatica;Variable1;Variable2
;[1.5,1.92);3595;3595;1,710;0,12743256176668674;1;NA;NA;NA;NA;NA
;[1.92,2.34);1598;5193;2,130;0,18407713303321399;2;NA;NA;NA;NA;NA
;[2.34,2.76);1789;6982;2,550;0,24749211300556520;3;NA;NA;NA;NA;NA
;[2.76,3.18);3166;10148;2,970;0,35971784055864736;4;NA;NA;NA;NA;NA
;[3.18,3.6);5856;16004;3,390;0,56729644464925033;5;NA;NA;NA;NA;NA
;[3.6,4.02);3809;19813;3,810;0,70231469993973983;6;NA;NA;NA;NA;NA
;[4.02,4.44);1524;21337;4,230;0,75633618092233523;7;NA;NA;NA;NA;NA
;[4.44,4.86);1493;22830;4,650;0,80925879975895931;8;NA;NA;NA;NA;NA
;[4.86,5.28);2469;25299;5,070;0,89677785261068377;9;NA;NA;NA;NA;NA
;[5.28,5.7];2912;28211;5,490;1,00000000000000000;10;NA;NA;NA;NA;NA
Tipo_de_vivienda;[1.5,1.92);981;981;1,710;0,05146094528668101;1;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.92,2.34);714;1695;2,130;0,08891570057178828;2;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.34,2.76);1087;2782;2,550;0,14593715574673452;3;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.76,3.18);2286;5068;2,970;0,26585532182762417;4;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[3.18,3.6);4673;9741;3,390;0,51098987567539211;5;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[3.6,4.02);2746;12487;3,810;0,65503855636573471;6;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[4.02,4.44);1095;13582;4,230;0,71247967266432355;7;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[4.44,4.86);982;14564;4,650;0,76399307559145990;8;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[4.86,5.28);1931;16495;5,070;0,86528877931070658;9;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[5.28,5.7];2568;19063;5,490;1,00000000000000000;10;Plurifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.5,1.92);2614;2614;1,710;0,28574551814604288;1;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[1.92,2.34);884;3498;2,130;0,38237866200262355;2;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.34,2.76);702;4200;2,550;0,45911674682990816;3;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[2.76,3.18);880;5080;2,970;0,55531263664188890;4;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[3.18,3.6);1183;6263;3,390;0,68463052033231309;5;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[3.6,4.02);1063;7326;3,810;0,80083078268473984;6;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[4.02,4.44);429;7755;4,230;0,84772627896808050;7;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[4.44,4.86);511;8266;4,650;0,90358548316571929;8;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[4.86,5.28);538;8804;5,070;0,96239615216440755;9;Unifamiliar;NA;NA;NA;NA
Tipo_de_vivienda;[5.28,5.7];344;9148;5,490;1,00000000000000000;10;Unifamiliar;NA;NA;NA;NA
Normativa;[1.5,1.92);890;890;1,710;0,07580919931856900;1;NA;Abans de 1979;NA;NA;NA
Normativa;[1.92,2.34);357;1247;2,130;0,10621805792163544;2;NA;Abans de 1979;NA;NA;NA
Normativa;[2.34,2.76);603;1850;2,550;0,15758091993185691;3;NA;Abans de 1979;NA;NA;NA
Normativa;[2.76,3.18);908;2758;2,970;0,23492333901192505;4;NA;Abans de 1979;NA;NA;NA
Normativa;[3.18,3.6);1669;4427;3,390;0,37708688245315164;5;NA;Abans de 1979;NA;NA;NA
Normativa;[3.6,4.02);1420;5847;3,810;0,49804088586030665;6;NA;Abans de 1979;NA;NA;NA
Normativa;[4.02,4.44);1058;6905;4,230;0,58816013628620101;7;NA;Abans de 1979;NA;NA;NA
Normativa;[4.44,4.86);1080;7985;4,650;0,68015332197614986;8;NA;Abans de 1979;NA;NA;NA
Normativa;[4.86,5.28);1760;9745;5,070;0,83006814310051102;9;NA;Abans de 1979;NA;NA;NA
Normativa;[5.28,5.7];1995;11740;5,490;1,00000000000000000;10;NA;Abans de 1979;NA;NA;NA
Normativa;[1.51,1.93);424;424;1,720;0,19176843057440071;1;NA;CTE 2006;NA;NA;NA
Normativa;[1.93,2.35);174;598;2,140;0,27046585255540478;2;NA;CTE 2006;NA;NA;NA
Normativa;[2.35,2.77);174;772;2,560;0,34916327453640889;3;NA;CTE 2006;NA;NA;NA
Normativa;[2.77,3.19);423;1195;2,980;0,54047942107643598;4;NA;CTE 2006;NA;NA;NA
Normativa;[3.19,3.61);728;1923;3,400;0,86974219810040709;5;NA;CTE 2006;NA;NA;NA
Normativa;[3.61,4.02);238;2161;3,815;0,97738579828132066;6;NA;CTE 2006;NA;NA;NA
Normativa;[4.02,4.44);23;2184;4,230;0,98778833107191311;7;NA;CTE 2006;NA;NA;NA
Normativa;[4.44,4.86);6;2190;4,650;0,99050203527815472;8;NA;CTE 2006;NA;NA;NA
Normativa;[4.86,5.28);7;2197;5,070;0,99366802351876982;9;NA;CTE 2006;NA;NA;NA
Normativa;[5.28,5.7];14;2211;5,490;1,00000000000000000;10;NA;CTE 2006;NA;NA;NA
Normativa;[1.5,1.91);295;295;1,705;0,30443756449948400;1;NA;CTE 2013;NA;NA;NA
Normativa;[1.91,2.32);280;575;2,115;0,59339525283797734;2;NA;CTE 2013;NA;NA;NA
Normativa;[2.32,2.74);145;720;2,530;0,74303405572755421;3;NA;CTE 2013;NA;NA;NA
Normativa;[2.74,3.15);145;865;2,945;0,89267285861713108;4;NA;CTE 2013;NA;NA;NA
Normativa;[3.15,3.56);64;929;3,355;0,95872033023735814;5;NA;CTE 2013;NA;NA;NA
Normativa;[3.56,3.97);22;951;3,765;0,98142414860681115;6;NA;CTE 2013;NA;NA;NA
Normativa;[3.97,4.38);7;958;4,175;0,98864809081527349;7;NA;CTE 2013;NA;NA;NA
Normativa;[4.38,4.8);3;961;4,590;0,99174406604747167;8;NA;CTE 2013;NA;NA;NA
Normativa;[4.8,5.21);5;966;5,005;0,99690402476780182;9;NA;CTE 2013;NA;NA;NA
Normativa;[5.21,5.62];3;969;5,415;1,00000000000000000;10;NA;CTE 2013;NA;NA;NA
Normativa;[1.5,1.92);501;501;1,710;0,51384615384615384;1;NA;CTE 2019;NA;NA;NA
Normativa;[1.92,2.34);227;728;2,130;0,74666666666666670;2;NA;CTE 2019;NA;NA;NA
Normativa;[2.34,2.76);84;812;2,550;0,83282051282051284;3;NA;CTE 2019;NA;NA;NA
Normativa;[2.76,3.18);75;887;2,970;0,90974358974358971;4;NA;CTE 2019;NA;NA;NA
Normativa;[3.18,3.6);47;934;3,390;0,95794871794871794;5;NA;CTE 2019;NA;NA;NA
Normativa;[3.6,4.02);17;951;3,810;0,97538461538461541;6;NA;CTE 2019;NA;NA;NA
Normativa;[4.02,4.44);4;955;4,230;0,97948717948717945;7;NA;CTE 2019;NA;NA;NA
Normativa;[4.44,4.86);7;962;4,650;0,98666666666666669;8;NA;CTE 2019;NA;NA;NA
Normativa;[4.86,5.28);6;968;5,070;0,99282051282051287;9;NA;CTE 2019;NA;NA;NA
Normativa;[5.28,5.7];7;975;5,490;1,00000000000000000;10;NA;CTE 2019;NA;NA;NA
Normativa;[1.5,1.92);421;421;1,710;0,05904628330995793;1;NA;NBE-CT-79;NA;NA;NA
Normativa;[1.92,2.34);209;630;2,130;0,08835904628330996;2;NA;NBE-CT-79;NA;NA;NA
Normativa;[2.34,2.76);315;945;2,550;0,13253856942496495;3;NA;NBE-CT-79;NA;NA;NA
Normativa;[2.76,3.18);766;1711;2,970;0,23997194950911641;4;NA;NBE-CT-79;NA;NA;NA
Normativa;[3.18,3.6);2243;3954;3,390;0,55455820476858342;5;NA;NBE-CT-79;NA;NA;NA
Normativa;[3.6,4.02);1157;5111;3,810;0,71683029453015423;6;NA;NBE-CT-79;NA;NA;NA
Normativa;[4.02,4.44);301;5412;4,230;0,75904628330995794;7;NA;NBE-CT-79;NA;NA;NA
Normativa;[4.44,4.86);357;5769;4,650;0,80911640953716690;8;NA;NBE-CT-79;NA;NA;NA
Normativa;[4.86,5.28);604;6373;5,070;0,89382889200561011;9;NA;NBE-CT-79;NA;NA;NA
Normativa;[5.28,5.7];757;7130;5,490;1,00000000000000000;10;NA;NBE-CT-79;NA;NA;NA
Normativa;[1.5,1.92);1086;1086;1,710;0,20940994986502121;1;NA;NRE-AT-87;NA;NA;NA
Normativa;[1.92,2.34);326;1412;2,130;0,27227150019282687;2;NA;NRE-AT-87;NA;NA;NA
Normativa;[2.34,2.76);459;1871;2,550;0,36077902043964521;3;NA;NRE-AT-87;NA;NA;NA
Normativa;[2.76,3.18);867;2738;2,970;0,52795989201696880;4;NA;NRE-AT-87;NA;NA;NA
Normativa;[3.18,3.6);1098;3836;3,390;0,73968376397994606;5;NA;NRE-AT-87;NA;NA;NA
Normativa;[3.6,4.02);956;4792;3,810;0,92402622445044347;6;NA;NRE-AT-87;NA;NA;NA
Normativa;[4.02,4.44);131;4923;4,230;0,94928654068646356;7;NA;NRE-AT-87;NA;NA;NA
Normativa;[4.44,4.86);40;4963;4,650;0,95699961434631697;8;NA;NRE-AT-87;NA;NA;NA
Normativa;[4.86,5.28);87;5050;5,070;0,97377554955649825;9;NA;NRE-AT-87;NA;NA;NA
Normativa;[5.28,5.7];136;5186;5,490;1,00000000000000000;10;NA;NRE-AT-87;NA;NA;NA
zona_climatica;[1.52,1.94);196;196;1,730;0,03898170246618934;1;NA;NA;B4;NA;NA
zona_climatica;[1.94,2.36);106;302;2,150;0,06006364359586316;2;NA;NA;B4;NA;NA
zona_climatica;[2.36,2.77);135;437;2,565;0,08691328560063644;3;NA;NA;B4;NA;NA
zona_climatica;[2.77,3.19);286;723;2,980;0,14379474940334128;4;NA;NA;B4;NA;NA
zona_climatica;[3.19,3.61);1605;2328;3,400;0,46300715990453462;5;NA;NA;B4;NA;NA
zona_climatica;[3.61,4.03);789;3117;3,820;0,61992840095465396;6;NA;NA;B4;NA;NA
zona_climatica;[4.03,4.45);200;3317;4,240;0,65970564836913281;7;NA;NA;B4;NA;NA
zona_climatica;[4.45,4.86);280;3597;4,655;0,71539379474940334;8;NA;NA;B4;NA;NA
zona_climatica;[4.86,5.28);587;4184;5,070;0,83214001591089892;9;NA;NA;B4;NA;NA
zona_climatica;[5.28,5.7];844;5028;5,490;1,00000000000000000;10;NA;NA;B4;NA;NA
zona_climatica;[1.5,1.92);2177;2177;1,710;0,12410215482841182;1;NA;NA;C2;NA;NA
zona_climatica;[1.92,2.34);999;3176;2,130;0,18105119142629120;2;NA;NA;C2;NA;NA
zona_climatica;[2.34,2.76);986;4162;2,550;0,23725914946984381;3;NA;NA;C2;NA;NA
zona_climatica;[2.76,3.18);1696;5858;2,970;0,33394139778816556;4;NA;NA;C2;NA;NA
zona_climatica;[3.18,3.6);3576;9434;3,390;0,53779500627066468;5;NA;NA;C2;NA;NA
zona_climatica;[3.6,4.02);2577;12011;3,810;0,68469957815528448;6;NA;NA;C2;NA;NA
zona_climatica;[4.02,4.44);1099;13110;4,230;0,74734921901721585;7;NA;NA;C2;NA;NA
